1,135,1740,53200,238400
3,294,1870,16000,5900
1,285,1100,14600,681100
3,297,630,10400,474500
2,181,1470,91300,0
3,267,1580,2700,109400
3,230,1050,4800,595000
1,122,810,64500,318900
2,183,1310,62500,1
2,229,1810,54500,0
1,298,1140,29000,644600
2,172,1530,27800,1
2,132,740,88100,0
2,214,1900,84100,1
2,162,1550,24600,0
2,289,820,99100,1
2,166,1830,61000,0
3,155,1870,34200,574000
2,215,610,39700,1
3,198,980,83800,221900
3,236,850,14800,798800
3,171,950,11900,112800
1,263,1010,36400,244200
2,206,760,54000,1
3,218,1190,42300,928800
1,211,870,30100,104000
3,108,1970,73600,917600
3,213,1410,15400,252100
1,268,740,93600,699300
1,243,1550,17900,322200
3,216,720,77100,676200
3,189,1140,20100,650700
1,288,1230,15500,93100
1,129,1170,95100,169900
2,199,1250,32800,0
3,266,1280,59100,821100
2,136,610,39800,0
3,179,640,76000,544200
1,138,1100,90700,500700
1,212,1900,82500,841400
2,121,1280,57700,0
1,110,1280,84000,737800
3,107,1320,82800,990700
3,279,1490,43900,404300
3,265,1220,89600,803800
3,261,1440,43600,444100
2,231,1120,75100,0
1,228,1640,63300,685700
2,180,1620,45000,0
1,251,1320,37700,637200
3,257,1580,78400,526400
3,191,1190,13300,584600
2,264,1480,9700,1
2,258,910,85300,0
2,242,1180,55200,1
2,186,1670,78300,1
1,169,600,97400,461400
2,153,1630,58100,0
3,100,1470,98500,829400
1,148,1940,1300,176600
1,221,1850,40000,764000
2,176,1240,55900,1
3,219,940,75100,667600
1,283,600,92200,418100
2,116,1200,90600,0
2,115,1340,89300,0
3,201,1140,81300,746800
2,119,870,15800,1
3,287,1500,79700,577700
3,260,1550,52600,964800
2,203,1860,71500,1
3,239,1600,52200,685600
1,280,1360,46700,91100
3,284,1840,86300,161100
3,105,1690,56000,654700
2,246,1120,21100,1
3,139,1050,42800,789000
1,164,1080,33700,766100
1,158,720,12300,135900
1,149,1430,31800,525800
3,147,1510,46800,792100
2,112,1570,17700,0
2,150,1710,19400,1
1,290,1440,28400,945100
3,238,1810,26600,781600
2,224,1210,70700,0
1,159,730,20500,936400
1,245,1270,75900,508300
1,274,670,61100,157700
2,128,1860,57700,0
3,194,1770,60100,479200
3,253,1860,26300,319200
3,118,1100,66900,242600
3,190,890,58100,227700
3,197,1100,56500,865600
1,241,1390,8100,384000
1,126,1670,66100,551900
1,259,1050,60700,749900
2,220,880,65900,1
2,123,1300,14700,0
2,144,1480,31000,1
3,140,840,14900,849900
3,154,1830,12500,893000
3,277,1990,36200,937200
2,281,1700,68600,0
3,120,960,36100,987200
2,146,1170,55900,1
2,114,1710,48600,0
1,255,660,50100,506700
2,141,960,71400,0
3,156,1310,42700,727400
3,252,1070,90200,420400
3,178,1710,25500,107100
3,235,1110,52600,222400
1,187,1890,18400,73800
3,174,1010,52600,825600
3,192,1550,44600,831100
2,111,680,71600,0
1,210,1220,30500,571000
2,182,1860,80400,1
2,205,1330,26400,1
2,195,1550,30100,1
2,233,1430,64600,0
1,256,1740,27500,225000
3,163,1880,62100,300100
2,222,1900,22000,0
2,217,930,16800,0
1,291,1360,7700,143200
2,248,1620,95600,0
3,113,1900,25000,914200
1,142,780,13000,453300
2,240,1540,91500,1
2,168,810,88100,1
1,282,970,60100,595600
2,262,930,76200,0
2,234,620,4100,1
2,130,1390,21000,0
3,293,1090,10300,253900
2,226,1350,22400,1
1,161,730,7800,102400
3,151,740,97200,782300
2,276,720,59700,1
3,175,1780,45300,539600
1,286,1750,33500,993600
1,103,1960,37500,814300
2,250,810,48000,1
2,237,690,92400,0
2,193,1540,28600,1
1,184,830,4800,485500
3,223,1790,20800,273300
3,143,1800,12400,891200
1,137,970,41700,949300
2,196,1210,30300,1
3,188,1080,60900,439000
2,295,650,30000,1
2,165,1820,32700,1
2,269,1740,17900,0
1,270,1370,50700,28900
2,202,1840,1600,1
3,145,1150,56200,328700
3,127,900,57200,941000
1,106,1700,81700,916400
3,185,760,21800,171800
2,157,980,35700,1
2,296,1960,25200,1
3,249,1000,25600,701500
2,177,1420,61100,1
3,102,1140,68300,243900
3,208,610,29700,506100
3,173,1750,33300,319600
3,167,1560,35200,131300
3,101,1810,13200,9400
2,247,1100,4500,1
2,227,1840,99700,1
1,292,650,90100,191100
1,133,1460,20700,459800
2,278,1760,26900,0
1,160,1070,34900,466200
3,225,1070,20300,182700
2,200,1080,67600,1
3,104,910,87600,711400
1,272,1420,82400,521500
3,152,1360,49600,798900
1,209,1540,52000,233900
2,275,1510,47200,0
3,117,920,80100,234800
1,134,890,50900,473000
1,244,1090,49300,104400
1,109,1500,82700,496300
1,170,880,94700,623100
2,204,840,48400,0
3,232,1460,85900,758400
3,271,1020,90200,251500
3,124,1340,30700,523100
2,207,930,7400,1
2,273,930,35600,1
2,254,1730,75500,0
3,131,1600,59900,986600
1,125,1210,17800,48700
